customer_id,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn,tenure_group,total_services,avg_monthly_spend_ratio,high_risk_flag,payment_risk_flag,contract_ordinal
8091-TTVAX,Male,False,True,False,58,One year,False,Credit card (automatic),100.35,5681.1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,False,49+,3,97.95,0,0,1
0280-XJGEX,Male,False,False,False,49,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,49+,4,102.78,0,0,0
5129-JLPIS,Male,False,False,False,25,Month-to-month,True,Electronic check,105.5,2686.05,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,False,25-48,5,107.44,0,1,0
3655-SNQYZ,Female,False,True,True,69,Two year,False,Credit card (automatic),113.25,7895.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,False,49+,6,114.42,0,0,2
8191-XWSZG,Female,False,False,False,52,One year,False,Mailed check,20.65,1022.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,19.67,0,1,1
9959-WOFKT,Male,False,False,True,71,Two year,False,Bank transfer (automatic),106.7,7382.25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,False,49+,4,103.98,0,0,2
4190-MFLUW,Female,False,True,True,10,Month-to-month,False,Credit card (automatic),55.2,528.35,Yes,No,DSL,No,No,Yes,Yes,No,No,True,0-12,2,52.84,0,0,0
4183-MYFRB,Female,False,False,False,21,Month-to-month,True,Electronic check,90.05,1862.9,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,False,13-24,3,88.71,0,1,0
8779-QRDMV,Male,True,False,False,1,Month-to-month,True,Electronic check,39.65,39.65,No,No phone service,DSL,No,No,Yes,No,No,Yes,True,0-12,2,39.65,1,1,0
1680-VDCWW,Male,False,True,False,12,One year,False,Bank transfer (automatic),19.8,202.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,16.85,0,0,1
1066-JKSGK,Male,False,False,False,1,Month-to-month,False,Mailed check,20.15,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,0-12,0,20.15,0,1,0
3638-WEABW,Female,False,True,False,58,Two year,True,Credit card (automatic),59.9,3505.1,Yes,Yes,DSL,No,Yes,No,Yes,No,No,False,49+,2,60.43,0,0,2
6322-HRPFA,Male,False,True,True,49,Month-to-month,False,Credit card (automatic),59.6,2970.3,Yes,No,DSL,Yes,Yes,No,Yes,No,No,False,49+,3,60.62,0,0,0
6865-JZNKO,Female,False,False,False,30,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,Yes,No,DSL,Yes,Yes,No,No,No,No,False,25-48,2,51.02,0,0,0
6467-CHFZW,Male,False,True,True,47,Month-to-month,True,Electronic check,99.35,4749.15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,True,25-48,3,101.05,0,1,0
8665-UTDHZ,Male,False,True,True,1,Month-to-month,False,Electronic check,30.2,30.2,No,No phone service,DSL,No,Yes,No,No,No,No,True,0-12,1,30.2,1,1,0
5248-YGIJN,Male,False,True,False,72,Two year,True,Credit card (automatic),90.25,6369.45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,False,49+,6,88.46,0,0,2
8773-HHUOZ,Female,False,False,True,17,Month-to-month,True,Mailed check,64.7,1093.1,Yes,No,DSL,No,No,No,No,Yes,Yes,True,13-24,2,64.3,0,1,0
3841-NFECX,Female,True,True,False,71,Two year,True,Credit card (automatic),96.35,6766.95,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,False,49+,4,95.31,0,0,2
4929-XIHVW,Male,True,True,False,2,Month-to-month,True,Credit card (automatic),95.5,181.65,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,False,0-12,3,90.82,1,0,0
6827-IEAUQ,Female,False,True,True,27,One year,False,Mailed check,66.15,1874.45,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,False,25-48,4,69.42,0,1,1
7310-EGVHZ,Male,False,False,False,1,Month-to-month,False,Bank transfer (automatic),20.2,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,20.2,0,0,0
3413-BMNZE,Male,True,False,False,1,Month-to-month,False,Bank transfer (automatic),45.25,45.25,Yes,No,DSL,No,No,No,No,No,No,False,0-12,0,45.25,1,0,0
6234-RAAPL,Female,False,True,True,72,Two year,False,Bank transfer (automatic),99.9,7251.7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,False,49+,4,100.72,0,0,2
6047-YHPVI,Male,False,False,False,5,Month-to-month,True,Electronic check,69.7,316.9,Yes,No,Fiber optic,No,No,No,No,No,No,True,0-12,0,63.38,1,1,0
6572-ADKRS,Female,False,False,False,46,Month-to-month,True,Credit card (automatic),74.8,3548.3,Yes,No,Fiber optic,No,No,Yes,No,No,No,False,25-48,1,77.14,0,0,0
5380-WJKOV,Male,False,False,False,34,Month-to-month,True,Electronic check,106.35,3549.25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,25-48,4,104.39,0,1,0
8168-UQWWF,Female,False,False,False,11,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,True,0-12,3,100.49,0,0,0
8865-TNMNX,Male,False,True,True,10,One year,False,Mailed check,49.55,475.7,Yes,No,DSL,No,Yes,No,No,No,No,False,0-12,1,47.57,0,1,1
9489-DEDVP,Female,False,True,True,70,Two year,True,Credit card (automatic),69.2,4872.35,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,False,49+,3,69.6,0,0,2
9867-JCZSP,Female,False,True,True,17,One year,False,Mailed check,20.75,418.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,13-24,0,24.6,0,1,1
4671-VJLCL,Female,False,False,False,63,Two year,True,Credit card (automatic),79.85,4861.45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,False,49+,5,77.17,0,0,2
4080-IIARD,Female,False,True,False,13,Month-to-month,True,Electronic check,76.2,981.45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,False,13-24,4,75.5,0,1,0
3714-NTNFO,Female,False,False,False,49,Month-to-month,True,Electronic check,84.5,3906.7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,False,49+,1,79.73,0,1,0
5948-UJZLF,Male,False,False,False,2,Month-to-month,False,Mailed check,49.25,97.0,Yes,No,DSL,No,Yes,No,No,No,No,False,0-12,1,48.5,1,1,0
7760-OYPDY,Female,False,False,False,2,Month-to-month,True,Electronic check,80.65,144.15,Yes,No,Fiber optic,No,No,No,No,Yes,No,True,0-12,1,72.08,1,1,0
7639-LIAYI,Male,False,False,False,52,Two year,True,Credit card (automatic),79.75,4217.8,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,False,49+,4,81.11,0,0,2
2954-PIBKO,Female,False,True,True,69,Two year,True,Credit card (automatic),64.15,4254.1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,False,49+,3,61.65,0,0,2
8012-SOUDQ,Female,True,False,False,43,Month-to-month,True,Electronic check,90.25,3838.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,False,25-48,2,89.27,0,1,0
9420-LOJKX,Female,False,False,False,15,Month-to-month,True,Credit card (automatic),99.1,1426.4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,True,13-24,4,95.09,0,0,0
6575-SUVOI,Female,True,True,False,25,Month-to-month,True,Credit card (automatic),69.5,1752.65,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,False,25-48,3,70.11,0,0,0
7495-OOKFY,Female,True,True,False,8,Month-to-month,True,Credit card (automatic),80.65,633.3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,True,0-12,1,79.16,0,0,0
4667-QONEA,Female,True,True,True,60,One year,True,Credit card (automatic),74.85,4456.35,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,False,49+,5,74.27,0,0,1
1658-BYGOY,Male,True,False,False,18,Month-to-month,True,Electronic check,95.45,1752.55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,True,13-24,2,97.36,0,1,0
8769-KKTPH,Female,False,True,True,63,One year,True,Credit card (automatic),99.65,6311.2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,False,49+,3,100.18,0,0,1
5067-XJQFU,Male,True,True,True,66,One year,True,Electronic check,108.45,7076.35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,False,49+,5,107.22,0,1,1
3957-SQXML,Female,False,True,True,34,Two year,False,Credit card (automatic),24.95,894.3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,26.3,0,0,2
5954-BDFSG,Female,False,False,False,72,Two year,True,Credit card (automatic),107.5,7853.7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,False,49+,4,109.08,0,0,2
0434-CSFON,Female,False,True,False,47,Month-to-month,True,Electronic check,100.5,4707.1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,False,25-48,3,100.15,0,1,0
1215-FIGMP,Male,False,False,False,60,Month-to-month,True,Bank transfer (automatic),89.9,5450.7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,False,49+,2,90.84,0,0,0
0526-SXDJP,Male,False,True,False,72,Two year,False,Bank transfer (automatic),42.1,2962.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,False,49+,3,41.14,0,0,2
0557-ASKVU,Female,False,True,True,18,One year,True,Credit card (automatic),54.4,957.1,Yes,No,DSL,No,No,Yes,Yes,No,No,False,13-24,2,53.17,0,0,1
5698-BQJOH,Female,False,False,False,9,Month-to-month,False,Electronic check,94.4,857.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,True,0-12,2,95.25,0,1,0
5122-CYFXA,Female,False,False,False,3,Month-to-month,True,Electronic check,75.3,244.1,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,False,0-12,4,81.37,0,1,0
8627-ZYGSZ,Male,False,True,False,47,One year,True,Electronic check,78.9,3650.35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,False,25-48,1,77.67,0,1,1
3410-YOQBQ,Female,False,False,False,31,Two year,False,Mailed check,79.2,2497.2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,False,25-48,5,80.55,0,1,2
3170-NMYVV,Female,False,True,True,50,Two year,False,Bank transfer (automatic),20.15,930.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,18.62,0,0,2
7410-OIEDU,Male,False,False,False,10,Month-to-month,True,Mailed check,79.85,887.35,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,False,0-12,2,88.74,0,1,0
2273-QCKXA,Male,False,False,False,1,Month-to-month,False,Mailed check,49.05,49.05,Yes,No,DSL,No,No,No,Yes,No,No,False,0-12,1,49.05,0,1,0
0731-EBJQB,Female,False,True,True,52,One year,True,Electronic check,20.4,1090.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,20.97,0,1,1
1891-QRQSA,Male,True,True,True,64,Two year,True,Bank transfer (automatic),111.6,7099.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,False,49+,5,110.92,0,0,2
8028-PNXHQ,Male,False,True,True,62,Two year,True,Bank transfer (automatic),24.25,1424.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,22.98,0,0,2
5630-AHZIL,Female,False,False,True,3,Month-to-month,True,Bank transfer (automatic),64.5,177.4,Yes,No,DSL,Yes,No,No,Yes,No,Yes,False,0-12,3,59.13,0,0,0
2673-CXQEU,Female,True,False,False,56,One year,False,Electronic check,110.5,6139.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,False,49+,5,109.63,0,1,1
6416-JNVRK,Female,False,False,False,46,One year,False,Credit card (automatic),55.65,2688.85,Yes,No,DSL,No,No,No,No,No,Yes,False,25-48,1,58.45,0,0,1
5590-ZSKRV,Female,False,True,True,8,Month-to-month,False,Mailed check,54.65,482.25,Yes,No,DSL,Yes,Yes,No,No,No,No,False,0-12,2,60.28,0,1,0
0191-ZHSKZ,Male,True,False,False,30,Month-to-month,True,Electronic check,74.75,2111.3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,False,25-48,4,70.38,0,1,0
3887-PBQAO,Female,False,True,True,45,One year,True,Credit card (automatic),25.9,1216.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,27.04,0,0,1
5919-TMRGD,Female,False,False,True,1,Month-to-month,True,Electronic check,79.35,79.35,Yes,No,Fiber optic,No,No,No,No,Yes,No,True,0-12,1,79.35,1,1,0
8108-UXRQN,Female,False,True,True,11,Month-to-month,False,Electronic check,50.55,565.35,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,False,0-12,3,51.4,0,1,0
9191-MYQKX,Female,False,True,False,7,Month-to-month,True,Bank transfer (automatic),75.15,496.9,Yes,No,Fiber optic,No,No,Yes,No,No,No,True,0-12,1,70.99,0,0,0
9919-YLNNG,Female,False,False,False,42,Month-to-month,True,Bank transfer (automatic),103.8,4327.5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,False,25-48,5,103.04,0,0,0
0318-ZOPWS,Female,False,True,False,49,Two year,True,Bank transfer (automatic),20.15,973.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,19.86,0,0,2
4445-ZJNMU,Male,False,False,False,9,Month-to-month,True,Credit card (automatic),99.3,918.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,False,0-12,3,102.08,0,0,0
4808-YNLEU,Female,False,True,False,35,One year,True,Bank transfer (automatic),62.15,2215.45,Yes,No,DSL,Yes,No,No,No,Yes,No,False,25-48,2,63.3,0,0,1
1862-QRWPE,Female,False,True,True,48,Two year,False,Bank transfer (automatic),20.65,1057.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,22.02,0,0,2
2796-NNUFI,Female,False,True,True,46,Two year,True,Mailed check,19.95,927.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,20.15,0,1,2
3016-KSVCP,Male,False,True,False,29,Month-to-month,False,Mailed check,33.75,1009.25,No,No phone service,DSL,No,No,No,No,Yes,No,False,25-48,1,34.8,0,1,0
4767-HZZHQ,Male,False,True,True,30,Month-to-month,False,Bank transfer (automatic),82.05,2570.2,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,False,25-48,2,85.67,0,0,0
2424-WVHPL,Male,True,False,False,1,Month-to-month,False,Electronic check,74.7,74.7,Yes,No,Fiber optic,No,No,No,Yes,No,No,False,0-12,1,74.7,0,1,0
7233-PAHHL,Male,False,True,True,66,Two year,True,Mailed check,84.0,5714.25,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,False,49+,5,86.58,0,1,2
6067-NGCEU,Female,False,False,False,65,Month-to-month,True,Credit card (automatic),111.05,7107.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,False,49+,5,109.34,0,0,0
9848-JQJTX,Male,False,False,False,72,Two year,True,Bank transfer (automatic),100.9,7459.05,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,False,49+,4,103.6,0,0,2
8637-XJIVR,Female,False,False,False,12,Month-to-month,True,Electronic check,78.95,927.35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,True,0-12,1,77.28,0,1,0
9803-FTJCG,Male,False,True,True,71,One year,True,Credit card (automatic),66.85,4748.7,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,False,49+,3,66.88,0,0,1
0278-YXOOG,Male,False,False,False,5,Month-to-month,False,Mailed check,21.05,113.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,0-12,0,22.77,0,1,0
3212-KXOCR,Male,False,False,False,52,Two year,False,Bank transfer (automatic),21.0,1107.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,21.29,0,0,2
4598-XLKNJ,Female,True,True,False,25,Month-to-month,True,Electronic check,98.5,2514.5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,25-48,4,100.58,0,1,0
6380-ARCEH,Male,False,False,False,1,Month-to-month,False,Mailed check,20.2,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,20.2,0,1,0
3679-XASPY,Female,False,True,True,1,Month-to-month,False,Electronic check,19.45,19.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,19.45,0,1,0
7123-WQUHX,Male,False,False,False,38,One year,False,Bank transfer (automatic),95.0,3605.6,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,False,25-48,3,94.88,0,0,1
5386-THSLQ,Female,True,True,False,66,One year,False,Bank transfer (automatic),45.55,3027.25,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,False,49+,3,45.87,0,0,1
3192-NQECA,Male,False,True,False,68,Two year,True,Bank transfer (automatic),110.0,7611.85,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,49+,5,111.94,0,0,2
6180-YBIQI,Male,False,False,False,5,Month-to-month,False,Mailed check,24.3,100.2,No,No phone service,DSL,No,No,No,No,No,No,False,0-12,0,20.04,1,1,0
6728-DKUCO,Female,False,True,True,72,One year,True,Electronic check,104.15,7303.05,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,False,49+,4,101.43,0,1,1
9750-BOOHV,Female,False,False,False,32,One year,False,Mailed check,30.15,927.65,No,No phone service,DSL,Yes,No,No,No,No,No,False,25-48,1,28.99,0,1,1
8597-CWYHH,Male,False,False,False,43,One year,False,Mailed check,94.35,3921.3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,False,25-48,2,91.19,0,1,1
2848-YXSMW,Male,False,True,True,72,Two year,False,Credit card (automatic),19.4,1363.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,18.93,0,0,2
0486-HECZI,Male,False,True,False,55,Month-to-month,True,Electronic check,96.75,5238.9,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,True,49+,3,95.25,0,1,0
4549-ZDQYY,Female,False,False,False,52,One year,False,Credit card (automatic),57.95,3042.25,Yes,No,DSL,Yes,No,Yes,Yes,No,No,False,49+,3,58.5,0,0,1
5712-AHQNN,Female,False,False,False,43,Month-to-month,True,Electronic check,91.65,3954.1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,False,25-48,3,91.96,0,1,0
4846-WHAFZ,Female,True,True,False,37,Month-to-month,True,Electronic check,76.5,2868.15,Yes,Yes,Fiber optic,No,No,No,No,No,No,True,25-48,0,77.52,0,1,0
5256-SKJGO,Female,False,True,True,64,Two year,True,Electronic check,54.6,3423.5,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,False,49+,4,53.49,0,1,2
3071-VBYPO,Male,False,True,True,3,Month-to-month,False,Electronic check,89.85,248.4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,False,0-12,3,82.8,1,1,0
9560-BBZXK,Female,False,False,False,36,Two year,False,Bank transfer (automatic),31.05,1126.35,No,No phone service,DSL,Yes,No,No,No,No,No,False,25-48,1,31.29,0,0,2
5299-RULOA,Female,False,True,True,10,Month-to-month,True,Electronic check,100.25,1064.65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,True,0-12,3,106.46,0,1,0
8402-OOOHJ,Female,False,False,False,41,Two year,False,Mailed check,20.65,835.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,20.37,0,1,2
9445-ZUEQE,Male,False,True,True,27,Month-to-month,True,Credit card (automatic),85.2,2151.6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,False,25-48,2,79.69,0,0,0
1091-SOZGA,Female,False,True,True,56,One year,True,Credit card (automatic),99.8,5515.45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,False,49+,3,98.49,0,0,1
2928-HLDBA,Female,False,False,False,6,Month-to-month,False,Mailed check,20.7,112.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,18.79,0,1,0
0404-SWRVG,Male,False,False,False,3,Month-to-month,True,Electronic check,74.4,229.55,Yes,Yes,Fiber optic,No,No,No,No,No,No,True,0-12,0,76.52,1,1,0
6497-TILVL,Female,False,True,True,7,Month-to-month,False,Mailed check,50.7,350.35,Yes,No,DSL,Yes,No,No,No,No,No,False,0-12,1,50.05,0,1,0
7219-TLZHO,Female,False,True,True,4,Month-to-month,False,Mailed check,20.85,62.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,15.72,0,1,0
4622-YNKIJ,Male,False,False,False,33,Two year,True,Electronic check,88.95,3027.65,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,False,25-48,3,91.75,0,1,2
4412-YLTKF,Female,True,False,False,27,Month-to-month,True,Electronic check,78.05,2135.5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,True,25-48,1,79.09,0,1,0
6734-PSBAW,Male,False,True,False,72,Two year,True,Bank transfer (automatic),23.55,1723.95,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,23.94,0,0,2
3930-ZGWVE,Male,False,False,False,1,Month-to-month,False,Mailed check,19.75,19.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,0-12,0,19.75,0,1,0
2639-UGMAZ,Male,True,False,False,71,One year,True,Electronic check,56.45,3985.35,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,False,49+,4,56.13,0,1,1
2876-GZYZC,Female,False,False,False,13,Month-to-month,True,Electronic check,85.95,1215.65,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,False,13-24,1,93.51,0,1,0
6207-WIOLX,Female,False,True,True,25,Month-to-month,True,Credit card (automatic),58.6,1502.65,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,True,25-48,5,60.11,0,0,0
8587-XYZSF,Male,False,False,False,67,Two year,False,Bank transfer (automatic),50.55,3260.1,Yes,No,DSL,No,No,No,Yes,No,No,False,49+,1,48.66,0,0,2
3091-FYHKI,Male,False,False,False,1,Month-to-month,True,Electronic check,35.45,35.45,No,No phone service,DSL,No,No,No,No,No,Yes,True,0-12,1,35.45,1,1,0
2372-HWUHI,Male,False,False,False,2,Month-to-month,False,Electronic check,44.35,81.25,Yes,No,DSL,No,No,No,No,No,No,True,0-12,0,40.62,1,1,0
7799-LGRDP,Female,False,False,False,43,Two year,True,Credit card (automatic),25.7,1188.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,25-48,0,27.63,0,0,2
7850-VWJUU,Female,False,False,False,23,Month-to-month,True,Bank transfer (automatic),75.0,1778.5,Yes,No,Fiber optic,Yes,No,No,No,No,No,False,13-24,1,77.33,0,0,0
3774-VBNXY,Female,False,True,True,64,Two year,False,Mailed check,20.2,1277.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,19.96,0,1,2
6217-KDYWC,Male,False,False,True,57,Two year,True,Mailed check,19.6,1170.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,20.54,0,1,2
0390-DCFDQ,Female,True,True,False,1,Month-to-month,True,Mailed check,70.45,70.45,Yes,No,Fiber optic,No,No,No,No,No,No,True,0-12,0,70.45,1,1,0
3146-MSEGF,Female,True,True,True,72,Two year,True,Credit card (automatic),88.05,6425.65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,False,49+,6,89.25,0,0,2
4080-OGPJL,Female,False,False,False,8,Month-to-month,False,Electronic check,71.15,563.65,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,True,0-12,3,70.46,0,1,0
1095-WGNGG,Female,False,True,False,61,Two year,True,Bank transfer (automatic),101.05,5971.25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,False,49+,3,97.89,0,0,2
2636-SJDOU,Male,False,False,False,64,One year,True,Credit card (automatic),84.3,5289.05,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,False,49+,2,82.64,0,0,1
1131-QQZEB,Male,True,True,False,71,Two year,False,Bank transfer (automatic),23.95,1756.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,49+,0,24.74,0,0,2
5716-EZXZN,Female,False,True,True,65,Two year,True,Credit card (automatic),99.05,6416.7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,False,49+,4,98.72,0,0,2
